,name,grape,product rating,number ratings,product type,country of origin,price,bold_value,tannic value,sweet_value,acidic_value,food_pairing
788,Salice Salentino Rosso Riserva,Blend,4.2,100 ratings,Red wine,Italy,€24.90,,,,,Beef
789,Sud del Sud,Blend,4.2,99 ratings,Red wine,Italy,€13.90,75.7789%,41.6724%,35.0236%,35.5575%,Beef
790,Frauenhügel Lagrein Riserva,Lagrein,4.2,98 ratings,Red wine,Italy,€22.50,65.7382%,45.5712%,15.5299%,31.7609%,Beef
791,Raccontami Primitivo di Manduria,Primitivo,4.2,96 ratings,Red wine,Italy,€27.90,68.3494%,27.567%,42.3878%,17.8357%,Beef
792,Praesulis Pinot Noir,Pinot Noir,4.2,96 ratings,Red wine,Italy,€29.90,36.743%,25.6601%,,,Beef
793,Zane Valpolicella Ripasso Classico Superiore,Blend,4.2,94 ratings,Red wine,Italy,€19,61.0593%,37.5967%,27.1601%,26.1929%,Beef
794,Podere Ritorti Bolgheri Superiore,Blend,4.2,94 ratings,Red wine,Italy,€27.85,63.1771%,63.1737%,9.1436%,50.9736%,Beef
795,Chianti Classico Riserva,Blend,4.2,94 ratings,Red wine,Italy,€25.90,48.406%,57.9497%,9.3886%,64.8298%,Beef
796,Riserva Chianti Classico,Sangiovese,4.2,93 ratings,Red wine,Italy,€26.20,48.5632%,57.0501%,7.42736%,63.6798%,Beef
797,Barbera d'Alba,Barbera,4.2,90 ratings,Red wine,Italy,€15.90,57.8903%,30.0711%,5.56214%,66.8117%,Beef
798,Carapace Montefalco Sagrantino,Sagrantino,4.2,89 ratings,Red wine,Italy,€22.50,60.4445%,56.8342%,5.42688%,47.431%,Beef
799,Lourens River Valley,Blend,4.2,89 ratings,Red wine,South Africa,€22,65.2441%,48.5291%,7.38371%,57.514%,Beef
800,San Placido Faro,Nero d'Avola,4.2,89 ratings,Red wine,Italy,€28.61,,,,,Beef
801,Lorano,Sangiovese,4.2,87 ratings,Red wine,Italy,€21.80,52.3729%,42.0932%,13.3567%,48.865%,Beef
802,Villányi Franc,Cabernet Franc,4.2,87 ratings,Red wine,Hungary,€26.85,,,,,Beef
803,Ventoux Quintessence Rouge,Blend,4.2,87 ratings,Red wine,France,€17.70,68.6102%,48.5683%,8.74235%,52.1126%,Beef
804,Rossini Conero Riserva,Montepulciano,4.2,86 ratings,Red wine,Italy,€29,64.5879%,55.0632%,6.97747%,45.9814%,Beef
805,Klanis Syrah,Shiraz/Syrah,4.2,86 ratings,Red wine,Italy,€29.90,55.7577%,47.4623%,13.7815%,48.672%,Beef
806,Amarone della Valpolicella,Blend,4.2,86 ratings,Red wine,Italy,€28.16,82.5106%,39.6177%,22.3545%,43.9246%,Beef
807,Nebbiolo,Nebbiolo,4.2,84 ratings,Red wine,Italy,€22.80,62.3665%,51.3645%,10.9993%,45.61%,Beef
808,I Tre Borri Toscana Rosso,Sangiovese,4.2,82 ratings,Red wine,Italy,€29.90,47.5592%,48.7686%,,,Beef
809,Majano Barbera d'Alba,Barbera,4.2,82 ratings,Red wine,Italy,€20.90,55.9249%,20.4842%,7.33575%,63.7517%,Beef
810,Amarone della Valpolicella Classico,Blend,4.2,81 ratings,Red wine,Italy,€22.90,,,,,Beef
811,Valle Cupa Salento,Negroamaro,4.2,81 ratings,Red wine,Italy,€22.50,84.3634%,44.566%,36.0125%,25.8446%,Beef
812,NeroMàccarj,Nero d'Avola,4.2,80 ratings,Red wine,Italy,€29,81.1269%,44.1766%,26.9161%,30.0923%,Beef
813,Entu,Blend,4.2,79 ratings,Red wine,Italy,€29,82.8607%,41.0869%,21.8107%,33.6822%,Beef
814,Vigna alla Sughera Sangiovese,Sangiovese,4.2,78 ratings,Red wine,Italy,€23.99,48.1566%,42.6007%,12.9296%,51.376%,Beef
815,Jaddico Brindisi Riserva,Blend,4.2,77 ratings,Red wine,Italy,€17.60,77.2138%,40.8843%,26.2539%,24.2495%,Beef
816,Brunello di Montalcino,Sangiovese,4.2,77 ratings,Red wine,Italy,€23.50,48.9346%,59.125%,1.54866%,64.2885%,Beef
817,Primitivo,Primitivo,4.2,78 ratings,Red wine,Italy,€7.69,66.0695%,18.9424%,41.3621%,10.9597%,Beef
818,Villa Santera Primitivo di Manduria,Primitivo,4.2,76 ratings,Red wine,Italy,€12.90,67.7665%,22.5702%,44.1629%,12.9893%,Beef
819,Vigna Gallina Barbera d'Alba Superiore,Barbera,4.2,75 ratings,Red wine,Italy,€21.40,54.8531%,25.9119%,9.63081%,63.5919%,Beef
820,Vega,Blend,4.2,74 ratings,Red wine,Italy,€16.90,84.6803%,41.4127%,32.5901%,21.3026%,Beef
821,Primitivo Appassimento,Primitivo,4.2,73 ratings,Red wine,Italy,€15.90,70.1137%,21.942%,52.9977%,13.2412%,Beef
822,Castel Normanno Contea di Sclafani,Sangiovese,4.2,73 ratings,Red wine,Italy,€21.20,77.4696%,35.1678%,22.1788%,38.5563%,Beef
823,Paritaru Negroamaro,Negroamaro,4.2,73 ratings,Red wine,Italy,€11.80,79.4214%,43.6929%,35.5786%,33.8071%,Beef
824,NeroMàccarj,Nero d'Avola,4.2,72 ratings,Red wine,Italy,€27.50,81.1269%,44.1766%,26.9161%,30.0923%,Beef
825,Fico Susumaniello,Susumaniello,4.8,27 ratings,Red wine,Italy,€24.90,75.8029%,36.3297%,31.3312%,24.9804%,Beef
826,60 Sessantanni Old Vines Primitivo di Manduria,Primitivo,4.5,15959 ratings,Red wine,Italy,€22.90,69.663%,22.9146%,46.7775%,12.1954%,Beef
827,Limited Edition 10 Vendemmie,Montepulciano,4.5,8893 ratings,Red wine,Italy,€24.30,50.6136%,36.753%,19.4152%,59.7082%,Beef
828,Fanova Riserva,Primitivo,4.5,135 ratings,Red wine,Italy,€17.40,79.3122%,38.7329%,30.1212%,31.5391%,Beef
829,Amarone della Valpolicella Classico,Blend,4.5,57 ratings,Red wine,Italy,€27.70,,,,,Beef
830,Guerriero della Terra,Blend,4.5,41 ratings,Red wine,Italy,€24.90,59.5447%,34.6501%,39.1743%,39.3046%,Beef
831,Nizza DOCG,Barbera,4.5,33 ratings,Red wine,Italy,€20,63.1152%,32.4413%,2.22174%,43.1739%,Beef
832,Lucretia Chianti Classico Riserva,Sangiovese,4.5,33 ratings,Red wine,Italy,€26,52.5077%,69.8093%,3.2835%,67.7371%,Beef
833,Primitivo Salento,Primitivo,4.4,2308 ratings,Red wine,Italy,€18.40,68.2177%,21.1277%,47.6472%,9.69191%,Beef
834,Guerriero della Terra,Blend,4.4,1421 ratings,Red wine,Italy,€24.95,59.5447%,34.6501%,39.1743%,39.3046%,Beef
835,Papale Linea Oro Primitivo di Manduria,Primitivo,4.4,1284 ratings,Red wine,Italy,€22.97,68.0154%,22.1595%,43.9264%,12.2737%,Beef
836,60 Sessantanni Old Vines Primitivo di Manduria,Primitivo,4.4,874 ratings,Red wine,Italy,€23.65,69.663%,22.9146%,46.7775%,12.1954%,Beef
837,60 Sessantanni Limited Edition Old Vines Primitivo di Manduria,Primitivo,4.4,445 ratings,Red wine,Italy,€27.30,69.4106%,19.7336%,45.9759%,11.1998%,Beef
838,Liala Negroamaro,Negroamaro,4.4,249 ratings,Red wine,Italy,€23.86,82.4346%,30.3049%,40.8946%,26.0213%,Beef
839,Cavolo Amarone della Valpolicella,Blend,4.4,238 ratings,Red wine,Italy,€29.89,80.3493%,24.82%,45.7862%,29.1761%,Beef
840,Primitivo di Manduria,Primitivo,4.4,221 ratings,Red wine,Italy,€29.90,72.0229%,25.4231%,45.3349%,12.2387%,Beef
841,Il Bacca Old Vine Primitivo di Manduria,Primitivo,4.4,172 ratings,Red wine,Italy,€26.90,68.7786%,26.5763%,43.1435%,13.4977%,Beef
842,Valpolicella Ripasso Classico Superiore,Blend,4.4,155 ratings,Red wine,Italy,€18.90,66.9617%,38.5803%,33.5744%,26.9165%,Beef
843,Amarone della Valpolicella,Blend,4.4,145 ratings,Red wine,Italy,€22,,,,,Beef
844,Paradoxe,Blend,4.4,126 ratings,Red wine,France,€29.90,70.215%,51.281%,16.1654%,56.0027%,Beef
845,L'Invidio Bolgheri Rosso,Blend,4.4,114 ratings,Red wine,Italy,€17.84,60.1444%,54.468%,9.33844%,46.36%,Beef
846,Vrucara Nero d'Avola,Nero d'Avola,4.4,94 ratings,Red wine,Italy,€29.99,,,,,Beef
847,Saracena Primitivo,Primitivo,4.4,92 ratings,Red wine,Italy,€12.20,69.0389%,21.306%,44.0903%,11.5374%,Beef
848,Mirea Primitivo di Manduria,Primitivo,4.4,85 ratings,Red wine,Italy,€19.20,75.7944%,23.1862%,46.0661%,11.5096%,Beef
849,I Colli Chianti Classico Riserva,Sangiovese,4.4,76 ratings,Red wine,Italy,€25.89,46.9102%,59.2303%,8.41216%,60.5772%,Beef
850,Lodolaio Chianti Classico Riserva,Sangiovese,4.4,63 ratings,Red wine,Italy,€27.90,51.3399%,56.0718%,2.45419%,64.1281%,Beef
851,Ventoux Silica,Blend,4.4,39 ratings,Red wine,France,€28.80,66.6473%,55.7554%,17.1575%,53.7446%,Beef
852,Taurasi,Aglianico,4.4,29 ratings,Red wine,Italy,€24.90,,,,,Beef
853,Nauna Primitivo - Negroamaro,Blend,4.4,29 ratings,Red wine,Italy,€18.20,84.5756%,42.3456%,32.0935%,26.7716%,Beef
854,Iroso,Blend,4.4,28 ratings,Red wine,Italy,€26.50,50.5798%,34.0946%,2.34496%,37.0114%,Beef
855,Brunello di Montalcino,Sangiovese,4.4,25 ratings,Red wine,Italy,€26.90,47.3318%,61.6828%,,,Beef
856,Edizione Cinque Autoctoni,Sangiovese,4.3,63676 ratings,Red wine,Italy,€23.99,70.9731%,38.254%,30.4642%,31.5104%,Beef
857,Cinquanta Collezione,Negroamaro,4.3,36355 ratings,Red wine,Italy,€18.30,,,,,Beef
858,F Negroamaro,Negroamaro,4.3,1627 ratings,Red wine,Italy,€22.40,,,,,Beef
859,Amaranta Montepulciano d'Abruzzo,Montepulciano,4.3,1270 ratings,Red wine,Italy,€16.70,44.2605%,38.0908%,15.1877%,61.08%,Beef
860,Villa Donoratico Bolgheri,Blend,4.3,1207 ratings,Red wine,Italy,€28.90,66.3117%,67.4043%,10.6418%,54.2565%,Beef
861,Cubardi Primitivo,Primitivo,4.3,790 ratings,Red wine,Italy,€15.29,70.0622%,24.7168%,40.9466%,16.0506%,Beef
862,Elena La Luna Barbera d'Alba,Barbera,4.3,710 ratings,Red wine,Italy,€19.90,62.434%,20.7051%,18.7754%,59.5645%,Beef
863,Gran Reserva,Malbec,4.3,653 ratings,Red wine,Argentina,€26.10,,,,,Beef
864,Harmonium Nero d'Avola,Nero d'Avola,4.3,632 ratings,Red wine,Italy,€27.50,83.9091%,44.8476%,28.109%,29.0225%,Beef
865,Amarone della Valpolicella Classico,Blend,4.3,566 ratings,Red wine,Italy,€23.90,,,,,Beef
866,62 Anniversario Primitivo di Manduria Riserva,Primitivo,4.3,562 ratings,Red wine,Italy,€27.20,69.8162%,21.1846%,44.7865%,11.1896%,Beef
867,Stilio Primitivo di Manduria,Primitivo,4.3,559 ratings,Red wine,Italy,€11.50,70.0308%,21.6412%,45.8288%,13.204%,Beef
868,La Groletta Amarone della Valpolicella,Blend,4.3,511 ratings,Red wine,Italy,€27.95,82.4305%,26.5422%,47.4486%,25.8193%,Beef
869,8 Limited Edition,Montepulciano,4.3,396 ratings,Red wine,Italy,€24.40,66.0248%,43.9257%,11.2723%,37.5099%,Beef
870,Eremo San Quirico Gold,Aglianico,4.3,391 ratings,Red wine,Italy,€18.95,84.5764%,36.89%,40.694%,22.8539%,Beef
871,Amarone della Valpolicella Classico Lena di Mezzo,Blend,4.3,381 ratings,Red wine,Italy,€27.90,,,,,Beef
872,Pecoranera Rosso,Nero di Troia,4.3,381 ratings,Red wine,Italy,€11.90,77.7367%,31.5385%,47.8988%,26.4048%,Beef
873,Paralupi Appassimento,Blend,4.3,341 ratings,Red wine,Italy,€12.90,,,,,Beef
874,Amarone della Valpolicella Classico,Corvina,4.3,329 ratings,Red wine,Italy,€26,84.8999%,26.0792%,44.3067%,26.3776%,Beef
875,Antièri Susumaniello,Susumaniello,4.3,318 ratings,Red wine,Italy,€16.40,80.5437%,38.5272%,39.5557%,30.7997%,Beef
876,Gocce Primitivo di Manduria,Primitivo,4.3,302 ratings,Red wine,Italy,€29.80,67.2456%,22.4184%,50.5186%,11.3384%,Beef
877,Visellio Primitivo,Primitivo,4.3,287 ratings,Red wine,Italy,€24.99,68.7614%,25.1765%,42.8458%,13.3965%,Beef
878,Primitivo di Manduria Riserva,Primitivo,4.3,279 ratings,Red wine,Italy,€11.99,69.6118%,20.7974%,44.1206%,17.5456%,Beef
879,Primitivo,Primitivo,4.3,269 ratings,Red wine,Italy,€14.19,67.3913%,22.4108%,43.6897%,16.479%,Beef
880,17 Primitivo Gioia del Colle,Primitivo,4.3,253 ratings,Red wine,Italy,€29.90,70.2069%,24.9263%,39.9504%,15.0855%,Beef
881,Cosimo Varvaglione Collezione Privata Negroamaro del Salento,Negroamaro,4.3,245 ratings,Red wine,Italy,€29.80,76.7037%,36.9437%,29.2564%,32.1497%,Beef
882,Sonetto Primitivo di Manduria Riserva,Primitivo,4.3,232 ratings,Red wine,Italy,€29.50,67.2201%,27.534%,39.724%,13.5343%,Beef
883,Alchymia Primitivo,Primitivo,4.3,233 ratings,Red wine,Italy,€12.70,67.3408%,20.8559%,46.7771%,12.3789%,Beef
884,Susu' Susumaniello,Susumaniello,4.3,220 ratings,Red wine,Italy,€11.40,76.705%,32.2948%,43.7405%,20.4377%,Beef
885,Elegia Primitivo di Manduria Riserva,Primitivo,4.3,216 ratings,Red wine,Italy,€15.90,67.8678%,26.7458%,46.2798%,15.4155%,Beef
886,San Giorgio Amarone della Valpolicella,Blend,4.3,176 ratings,Red wine,Italy,€19.99,,,,,Beef
887,Borgo dei Guidi Sangiovese - Cabernet Sauvignon,Blend,4.3,160 ratings,Red wine,Italy,€19.90,65.2195%,40.8662%,26.1229%,,Beef
888,Ilmorante Primitivo di Manduria,Primitivo,4.3,155 ratings,Red wine,Italy,€17,74.5738%,22.7912%,51.925%,11.1669%,Beef
889,Altemura Primitivo di Manduria,Primitivo,4.3,155 ratings,Red wine,Italy,€20.70,67.5797%,28.3509%,39.8101%,19.1283%,Beef
890,L’Arringatore,Blend,4.3,153 ratings,Red wine,Italy,€26.50,55.2245%,45.6655%,6.81133%,50.3032%,Beef
891,Toppicello Nero di Troia,Nero di Troia,4.3,129 ratings,Red wine,Italy,€20.90,,,,,Beef
892,Amarone della Valpolicella Classico Riserva,Blend,4.3,129 ratings,Red wine,Italy,€29.99,71.1875%,28.6719%,43.0156%,34.3438%,Beef
893,Gelso d'Oro Nero di Troia,Nero di Troia,4.3,108 ratings,Red wine,Italy,€20.95,84.4944%,37.2695%,36.7208%,24.8084%,Beef
